y/m,rainfall,max_rainfall_per_day
2011/3,53.0,24.0
2011/4,112.0,39.5
2011/5,280.0,84.5
2011/6,182.0,39.5
2011/7,162.5,49.0
2011/8,74.5,45.0
2011/9,425.0,124.5
2011/10,162.5,72.0
2011/11,85.5,65.0
2011/12,5.5,4.0
2012/1,27.5,18.0
2012/2,76.5,19.0
2012/3,108.0,24.0
2012/4,130.0,64.0
2012/5,25.0,9.0
2012/6,204.5,58.0
2012/7,231.0,58.0
2012/8,33.5,32.0
2012/9,143.5,38.0
2012/10,88.0,42.5
2012/11,102.5,54.0
2012/12,84.5,32.0
2013/1,29.5,20.0
2013/2,76.5,24.5
2013/3,48.5,20.5
2013/4,87.0,28.5
2013/5,67.0,41.5
2013/6,233.5,80.0
2013/7,43.5,16.0
2013/8,128.0,100.5
2013/9,268.0,97.5
2013/10,187.5,80.5
2013/11,65.0,19.0
2013/12,63.5,26.0
2014/1,29.5,20.0
2014/2,40.0,14.5
2014/3,162.0,54.0
2014/4,72.5,45.5
2014/5,85.0,29.0
2014/6,45.5,16.0
2014/7,69.5,19.0
2014/8,354.0,125.5
2014/9,127.0,51.5
2014/10,118.0,68.0
2014/11,53.0,19.5
2014/12,66.0,24.0
2015/1,83.0,26.0
2015/2,23.0,11.5
2015/3,145.0,38.0
2015/4,115.0,30.0
2015/5,100.0,52.5
2015/6,151.0,49.0
2015/7,434.0,267.0
2015/8,136.5,32.5
2015/9,163.0,40.5
2015/10,38.5,22.0
2015/11,86.5,25.5
2015/12,102.5,60.0
2016/1,46.5,35.0
2016/2,106.5,68.0
2016/3,86.5,32.5
2016/4,108.5,45.0
2016/5,159.0,60.5
2016/6,309.0,50.5
2016/7,84.0,30.0
2016/8,74.5,66.5
2016/9,187.5,40.5
2016/10,42.0,16.0
2016/11,71.0,34.5
2016/12,71.5,34.0
2017/1,32.0,23.5
2017/2,43.5,18.5
2017/3,32.0,19.0
2017/4,124.0,56.5
2017/5,64.0,28.0
2017/6,158.5,59.5
2017/7,77.5,35.0
2017/8,69.5,51.0
2017/9,186.0,74.5
2017/10,338.0,94.0
2017/11,44.0,15.0
2017/12,27.0,23.5
2018/1,44.0,24.0
2018/2,36.0,26.0
2018/3,128.5,36.0
2018/4,137.0,46.0
2018/5,240.5,67.5
2018/6,215.5,59.5
2018/7,531.5,205.5
2018/8,135.5,65.0
2018/9,464.5,84.5
2018/10,47.0,13.5
2018/11,11.5,6.5
2018/12,46.0,11.5
2019/1,15.0,12.0
2019/2,36.0,13.5
2019/3,79.0,16.5
2019/4,87.5,25.5
2019/5,96.0,46.5
2019/6,158.5,67.5
2019/7,219.5,49.0
2019/8,220.5,84.5
2019/9,39.0,16.0
2019/10,160.0,53.0
2019/11,4.0,3.0
2019/12,62.5,21.5
2020/1,62.5,27.0
2020/2,55.0,17.0
2020/3,100.5,29.5
2020/4,99.0,30.0
2020/5,90.5,53.0
2020/6,244.0,74.0
2020/7,586.0,87.0
2020/8,18.0,11.5
2020/9,142.5,77.5
2020/10,154.5,51.0
2020/11,48.5,38.5
2020/12,13.5,7.5
2021/1,54.5,26.5
2021/2,34.0,25.0
2021/3,97.0,28.5
2021/4,168.5,71.0
2021/5,246.0,66.0
2021/6,102.0,33.5
2021/7,184.0,60.5
2021/8,368.5,98.0
2021/9,187.5,39.0
2021/10,43.0,29.5
2021/11,106.5,47.5
2021/12,45.5,16.0
